"","date","UNH"
"647",2021-12-30,0.3374
"648",2021-12-31,0.3521
"649",2022-01-03,0.3174
"650",2022-01-04,0.2848
"651",2022-01-05,0.276
"652",2022-01-06,0.2767
"653",2022-01-07,0.2887
"654",2022-01-10,0.2881
"655",2022-01-11,0.2485
"656",2022-01-12,0.2276
"657",2022-01-13,0.2835
"658",2022-01-14,0.3025
"659",2022-01-18,0.2744
"660",2022-01-19,0.2638
"661",2022-01-20,0.2398
"662",2022-01-21,0.2698
"663",2022-01-24,0.2673
"664",2022-01-25,0.2467
"665",2022-01-26,0.2417
"666",2022-01-27,0.2483
"667",2022-01-28,0.2346
"668",2022-01-31,0.2186
"669",2022-02-01,0.2152
"670",2022-02-02,0.2278
"671",2022-02-03,0.2171
"672",2022-02-04,0.2096
"673",2022-02-07,0.2202
"674",2022-02-08,0.2149
"675",2022-02-09,0.2304
"676",2022-02-10,0.2469
"677",2022-02-11,0.2501
"678",2022-02-14,0.2626
"679",2022-02-15,0.2274
"680",2022-02-16,0.2226
"681",2022-02-17,0.2434
"682",2022-02-18,0.2313
"683",2022-02-22,0.2035
"684",2022-02-23,0.2262
"685",2022-02-24,0.2304
"686",2022-02-25,0.2434
"687",2022-02-28,0.2569
"688",2022-03-01,0.2701
"689",2022-03-02,0.2775
"690",2022-03-03,0.282
"691",2022-03-04,0.2754
"692",2022-03-07,0.2676
"693",2022-03-08,0.2702
"694",2022-03-09,0.2604
"695",2022-03-10,0.2642
"696",2022-03-11,0.2625
"697",2022-03-14,0.264
"698",2022-03-15,0.2759
"699",2022-03-16,0.2589
"700",2022-03-17,0.2698
"701",2022-03-18,0.2893
"702",2022-03-21,0.317
"703",2022-03-22,0.297
"704",2022-03-23,0.2988
"705",2022-03-24,0.2946
"706",2022-03-25,0.329
"707",2022-03-28,0.3561
"708",2022-03-29,0.3611
"709",2022-03-30,0.3135
"710",2022-03-31,0.2956
"711",2022-04-01,0.3037
"712",2022-04-04,0.3236
"713",2022-04-05,0.3347
"714",2022-04-06,0.322
"715",2022-04-07,0.2317
"716",2022-04-08,0.1432
"717",2022-04-11,0.1468
"718",2022-04-12,0.1727
"719",2022-04-13,0.1539
"720",2022-04-14,0.1437
"721",2022-04-18,0.1379
"722",2022-04-19,0.1326
"723",2022-04-20,0.1391
"724",2022-04-21,0.1663
"725",2022-04-22,0.1914
"726",2022-04-25,0.2169
"727",2022-04-26,0.1928
"728",2022-04-27,0.1983
"729",2022-04-28,0.1475
"730",2022-04-29,0.1432
"731",2022-05-02,0.1402
"732",2022-05-03,0.1336
"733",2022-05-04,0.1299
"734",2022-05-05,0.1426
"735",2022-05-06,0.1533
"736",2022-05-09,0.16
