"","date","AVGO"
"520",2022-12-02,0.1895
"521",2022-12-05,0.202
"522",2022-12-06,0.2122
"523",2022-12-07,0.1986
"524",2022-12-08,0.2099
"525",2022-12-09,0.2118
"526",2022-12-12,0.2306
"527",2022-12-13,0.2414
"528",2022-12-14,0.2595
"529",2022-12-15,0.2678
"530",2022-12-16,0.2808
"531",2022-12-19,0.2834
"532",2022-12-20,0.3104
"533",2022-12-21,0.3226
"534",2022-12-22,0.3423
"535",2022-12-23,0.3664
"536",2022-12-27,0.387
"537",2022-12-28,0.3992
"538",2022-12-29,0.426
"539",2022-12-30,0.446
"540",2023-01-03,0.4478
"541",2023-01-04,0.4508
"542",2023-01-05,0.4542
"543",2023-01-06,0.4526
"544",2023-01-09,0.4619
"545",2023-01-10,0.4723
"546",2023-01-11,0.4743
"547",2023-01-12,0.4779
"548",2023-01-13,0.4787
"549",2023-01-17,0.4722
"550",2023-01-18,0.4207
"551",2023-01-19,0.3783
"552",2023-01-20,0.3575
"553",2023-01-23,0.277
"554",2023-01-24,0.2811
"555",2023-01-25,0.2823
"556",2023-01-26,0.2399
"557",2023-01-27,0.2321
"558",2023-01-30,0.2172
"559",2023-01-31,0.1927
"560",2023-02-01,0.1882
"561",2023-02-02,0.1723
"562",2023-02-03,0.1558
"563",2023-02-06,0.1538
"564",2023-02-07,0.144
"565",2023-02-08,0.1507
"566",2023-02-09,0.142
"567",2023-02-10,0.1394
"568",2023-02-13,0.137
"569",2023-02-14,0.1477
"570",2023-02-15,0.1487
"571",2023-02-16,0.1491
"572",2023-02-17,0.144
"573",2023-02-21,0.1383
"574",2023-02-22,0.1345
"575",2023-02-23,0.1386
"576",2023-02-24,0.1324
"577",2023-02-27,0.1277
"578",2023-02-28,0.1255
"579",2023-03-01,0.1277
"580",2023-03-02,0.1308
"581",2023-03-03,0.1322
"582",2023-03-06,0.1279
"583",2023-03-07,0.1242
"584",2023-03-08,0.1136
"585",2023-03-09,0.1083
"586",2023-03-10,0.1072
"587",2023-03-13,0.1181
"588",2023-03-14,0.1187
"589",2023-03-15,0.1237
"590",2023-03-16,0.1218
"591",2023-03-17,0.1182
"592",2023-03-20,0.1114
"593",2023-03-21,0.1152
"594",2023-03-22,0.1092
"595",2023-03-23,0.106
"596",2023-03-24,0.1023
"597",2023-03-27,0.0894
"598",2023-03-28,0.091
"599",2023-03-29,0.1031
"600",2023-03-30,0.101
"601",2023-03-31,0.0969
"602",2023-04-03,0.0902
"603",2023-04-04,0.089
"604",2023-04-05,0.0895
"605",2023-04-06,0.0918
"606",2023-04-10,0.0784
"607",2023-04-11,0.0729
"608",2023-04-12,0.0776
"609",2023-04-13,0.083
"610",2023-04-14,0.0889
"611",2023-04-17,0.0939
"612",2023-04-18,0.0893
"613",2023-04-19,0.0901999999999999
"614",2023-04-20,0.0798
"615",2023-04-21,0.0822
"616",2023-04-24,0.0867
"617",2023-04-25,0.087
"618",2023-04-26,0.0902
"619",2023-04-27,0.0992
"620",2023-04-28,0.0962
"621",2023-05-01,0.0916
"622",2023-05-02,0.0845
"623",2023-05-03,0.0962
"624",2023-05-04,0.096
"625",2023-05-05,0.0953000000000001
"626",2023-05-08,0.0965
"627",2023-05-09,0.0904
"628",2023-05-10,0.0838
"629",2023-05-11,0.0955
"630",2023-05-12,0.1021
"631",2023-05-15,0.1054
"632",2023-05-16,0.1071
"633",2023-05-17,0.1034
"634",2023-05-18,0.098
"635",2023-05-19,0.1132
"636",2023-05-22,0.1125
"637",2023-05-23,0.1147
"638",2023-05-24,0.1204
"639",2023-05-25,0.1263
"640",2023-05-26,0.1271
"641",2023-05-30,0.1258
"642",2023-05-31,0.1231
"643",2023-06-01,0.1258
"644",2023-06-02,0.1255
"645",2023-06-05,0.1302
"646",2023-06-06,0.1431
"647",2023-06-07,0.1508
"648",2023-06-08,0.1424
"649",2023-06-09,0.147
"650",2023-06-12,0.1471
"651",2023-06-13,0.1493
"652",2023-06-14,0.1569
"653",2023-06-15,0.1567
"654",2023-06-16,0.151
"655",2023-06-20,0.1579
"656",2023-06-21,0.1628
"657",2023-06-22,0.1603
"658",2023-06-23,0.1614
"659",2023-06-26,0.1756
"660",2023-06-27,0.1767
"661",2023-06-28,0.1714
"662",2023-06-29,0.1659
