"","date","INTU"
"868",2022-11-15,0.3075
"869",2022-11-16,0.3083
"870",2022-11-17,0.2951
"871",2022-11-18,0.3026
"872",2022-11-21,0.286
"873",2022-11-22,0.2741
"874",2022-11-23,0.2609
"875",2022-11-25,0.2648
"876",2022-11-28,0.256
"877",2022-11-29,0.2458
"878",2022-11-30,0.2467
"879",2022-12-01,0.2519
"880",2022-12-02,0.2804
"881",2022-12-05,0.3017
"882",2022-12-06,0.3129
"883",2022-12-07,0.2929
"884",2022-12-08,0.3059
"885",2022-12-09,0.3167
"886",2022-12-12,0.3115
"887",2022-12-13,0.3125
"888",2022-12-14,0.3072
"889",2022-12-15,0.3059
"890",2022-12-16,0.3489
"891",2022-12-19,0.3296
"892",2022-12-20,0.3815
"893",2022-12-21,0.4188
"894",2022-12-22,0.4508
"895",2022-12-23,0.4416
"896",2022-12-27,0.4525
"897",2022-12-28,0.4551
"898",2022-12-29,0.4254
"899",2022-12-30,0.4187
"900",2023-01-03,0.4256
"901",2023-01-04,0.4073
"902",2023-01-05,0.3995
"903",2023-01-06,0.3742
"904",2023-01-09,0.3722
"905",2023-01-10,0.3886
"906",2023-01-11,0.3751
"907",2023-01-12,0.3644
"908",2023-01-13,0.3522
"909",2023-01-17,0.3296
"910",2023-01-18,0.3233
"911",2023-01-19,0.3077
"912",2023-01-20,0.3055
"913",2023-01-23,0.2828
"914",2023-01-24,0.3187
"915",2023-01-25,0.3209
"916",2023-01-26,0.3307
"917",2023-01-27,0.3081
"918",2023-01-30,0.2817
"919",2023-01-31,0.2707
"920",2023-02-01,0.3172
"921",2023-02-02,0.2845
"922",2023-02-03,0.2651
"923",2023-02-06,0.2461
"924",2023-02-07,0.224
"925",2023-02-08,0.2041
"926",2023-02-09,0.2019
"927",2023-02-10,0.1765
"928",2023-02-13,0.1811
"929",2023-02-14,0.1836
"930",2023-02-15,0.1785
"931",2023-02-16,0.1641
"932",2023-02-17,0.158
"933",2023-02-21,0.1509
