date,FANG,INTU,FTNT,ETN,AMD,IDXX,META,CDNS,MPWR,FCX,NEM,PANW,LLY,OXY
2022-11-21,0.1867,0.1992,0.2843,0.2183,0.2216,0.2488,0.2913,0.29,0.2652,0.1122,0.107,0.3187,0.1954,0.2078
2022-11-22,0.2026,0.2032,0.2814,0.2218,0.2265,0.244,0.2989,0.2919,0.271,0.1211,0.1083,0.3155,0.1946,0.2326
2022-11-23,0.2062,0.2121,0.278,0.219,0.2231,0.243,0.2993,0.2928,0.2739,0.1193,0.1006,0.3121,0.1973,0.237
2022-11-25,0.2056,0.2106,0.27,0.2172,0.2207,0.2442,0.298,0.2917,0.275,0.1164,0.0956,0.3173,0.2046,0.2335
2022-11-28,0.1982,0.2093,0.2702,0.2215,0.2225,0.2492,0.2951,0.2863,0.2689,0.1189,0.093,0.3203,0.223,0.2206
2022-11-29,0.1869,0.2041,0.27,0.2107,0.2239,0.245,0.3018,0.2816,0.2638,0.1147,0.0973,0.3231,0.2466,0.2099
2022-11-30,0.173,0.2068,0.2678,0.2106,0.2183,0.2407,0.2904,0.2798,0.2611,0.1103,0.0967,0.3153,0.2471,0.1979
2022-12-01,0.1899,0.2041,0.2706,0.205,0.2161,0.2394,0.2958,0.2792,0.2626,0.1066,0.0918,0.3189,0.2361,0.2214
2022-12-02,0.1994,0.2069,0.265,0.2006,0.212,0.2405,0.2941,0.2844,0.2565,0.1035,0.0885,0.3089,0.2321,0.2293
2022-12-05,0.2054,0.2104,0.2696,0.207,0.2123,0.2472,0.2989,0.2871,0.2598,0.1018,0.0911,0.3103,0.2236,0.2344
2022-12-06,0.2037,0.2053,0.2744,0.2133,0.2046,0.245,0.2996,0.3029,0.2606,0.1061,0.0952999999999999,0.3155,0.2246,0.2302
2022-12-07,0.1936,0.1996,0.271,0.2003,0.1989,0.2335,0.3038,0.3152,0.2575,0.1014,0.0997,0.3181,0.2214,0.2176
2022-12-08,0.1958,0.2064,0.2731,0.2063,0.2053,0.23,0.2985,0.3215,0.2588,0.1116,0.1031,0.3203,0.2174,0.2194
2022-12-09,0.2118,0.2102,0.2744,0.2145,0.2031,0.2363,0.3032,0.3182,0.2589,0.1152,0.1027,0.3209,0.2057,0.2379
2022-12-12,0.2154,0.2196,0.2726,0.2241,0.1988,0.2495,0.3078,0.3182,0.2613,0.1192,0.0987,0.3201,0.2031,0.2406
2022-12-13,0.2071,0.2154,0.2682,0.2196,0.1972,0.2534,0.3136,0.3094,0.2627,0.1149,0.1012,0.3304,0.2127,0.2369
2022-12-14,0.1989,0.2156,0.2628,0.2175,0.1979,0.2508,0.3067,0.3035,0.2635,0.1103,0.1053,0.3217,0.2142,0.2229
2022-12-15,0.204,0.2011,0.2606,0.2092,0.1889,0.2429,0.31,0.2969,0.2644,0.1046,0.1082,0.3195,0.2123,0.2235
2022-12-16,0.1952,0.2023,0.2601,0.2106,0.1917,0.2427,0.3107,0.3023,0.2628,0.1095,0.1128,0.3106,0.2116,0.2095
2022-12-19,0.2008,0.205,0.2645,0.2134,0.1944,0.25,0.3152,0.3003,0.2624,0.1117,0.1073,0.3148,0.202,0.2215
2022-12-20,0.2032,0.2124,0.2649,0.2201,0.1942,0.2584,0.3132,0.3022,0.2584,0.1082,0.1021,0.3121,0.2009,0.2267
2022-12-21,0.1955,0.2092,0.2666,0.2161,0.1937,0.2524,0.3158,0.2961,0.2524,0.1013,0.1068,0.3171,0.2029,0.221
2022-12-22,0.1902,0.2094,0.2607,0.2136,0.1952,0.2508,0.3064,0.2934,0.2546,0.1054,0.0958000000000001,0.3144,0.2058,0.2171
2022-12-23,0.1975,0.2057,0.2563,0.2013,0.1936,0.2391,0.3216,0.29,0.2499,0.0999,0.0961,0.3159,0.2005,0.2282
2022-12-27,0.1986,0.203,0.2571,0.1968,0.1968,0.2387,0.3206,0.2919,0.2462,0.1027,0.1029,0.3159,0.198,0.2255
2022-12-28,0.2046,0.2003,0.2579,0.1986,0.1978,0.2432,0.3176,0.2974,0.2509,0.1048,0.1037,0.3213,0.2044,0.2326
2022-12-29,0.2011,0.2059,0.2583,0.2074,0.1995,0.2462,0.3077,0.2965,0.254,0.1016,0.1028,0.3222,0.2056,0.2286
2022-12-30,0.2024,0.2036,0.2554,0.197,0.2006,0.2443,0.305,0.2929,0.2478,0.1015,0.1031,0.32,0.1995,0.2327
2023-01-03,0.2002,0.2072,0.2558,0.2033,0.2052,0.2491,0.3044,0.2967,0.2469,0.1093,0.1031,0.314,0.2065,0.23
