date,NEM,ABEV3,FTNT,ENGI11,IDXX,LREN3,OXY,INTU,LLY,PANW,TOTS3,FCX,FANG,META,ALPA4,MPWR,ETN,AMD,CDNS
2021-12-14,0.1422,0.3026,0.2056,0.2712,0.2417,0.2273,0.1503,0.2782,0.2356,0.2701,0.2095,0.1254,0.1925,0.0774,0.2921,0.2649,0.0853,0.0695,0.2114
2021-12-15,0.1434,0.3527,0.2124,0.2547,0.262,0.2506,0.1576,0.2819,0.2464,0.2405,0.2077,0.122,0.2142,0.0901,0.2862,0.2679,0.0816000000000001,0.0994,0.2443
2021-12-16,0.1605,0.3495,0.2286,0.2694,0.2379,0.2693,0.1733,0.2907,0.2498,0.2477,0.1932,0.1085,0.2067,0.0766,0.2924,0.2758,0.0526,0.1276,0.2404
2021-12-17,0.15,0.3377,0.2245,0.2806,0.2306,0.26,0.1623,0.2859,0.2418,0.2811,0.1981,0.1175,0.1901,0.0621,0.2958,0.2496,0.043,0.1471,0.2493
2021-12-20,0.139,0.3283,0.2233,0.2873,0.243,0.2461,0.1733,0.3193,0.2483,0.2625,0.1866,0.1253,0.1987,0.0659,0.2787,0.2416,0.0506,0.177,0.2648
2021-12-21,0.1096,0.3109,0.2306,0.2874,0.2583,0.2425,0.1851,0.3125,0.2431,0.2373,0.184,0.1107,0.1979,0.0505,0.3076,0.2379,0.0693,0.2117,0.2389
2021-12-22,0.1162,0.3177,0.2361,0.276,0.2592,0.2636,0.1692,0.302,0.2473,0.2251,0.1636,0.1152,0.1875,0.0483,0.302,0.2308,0.0748,0.2234,0.2346
2021-12-23,0.1245,0.3546,0.2271,0.2814,0.2434,0.2707,0.166,0.304,0.214,0.2259,0.1548,0.1097,0.1691,0.0856,0.3281,0.227,0.0553000000000001,0.2331,0.2201
2021-12-27,0.1273,0.3759,0.2258,0.287,0.2513,0.2624,0.1496,0.3065,0.1968,0.2461,0.1717,0.1317,0.1574,0.1047,0.2933,0.2434,0.0589,0.2193,0.2402
2021-12-28,0.1101,0.3952,0.2256,0.2723,0.2465,0.2697,0.1565,0.2967,0.192,0.2629,0.1661,0.1152,0.1703,0.0926,0.3329,0.2423,0.0634000000000001,0.2144,0.2369
2021-12-29,0.1214,0.3963,0.225,0.2764,0.2311,0.2863,0.1454,0.2887,0.1873,0.2564,0.1659,0.1447,0.1654,0.0982,0.3325,0.2483,0.0815,0.1983,0.2446
2021-12-30,0.1279,0.4226,0.2254,0.2731,0.2123,0.2728,0.1409,0.3241,0.2114,0.2479,0.1778,0.1358,0.1381,0.1182,0.3443,0.2508,0.0824,0.1746,0.2391
2022-01-03,0.1324,0.4034,0.2288,0.2848,0.2149,0.2934,0.1205,0.3144,0.2487,0.2784,0.2567,0.1463,0.1435,0.1147,0.3417,0.2558,0.0835,0.1752,0.2508
2022-01-04,0.1746,0.4093,0.2364,0.2759,0.2345,0.2782,0.1113,0.3127,0.2796,0.2721,0.2087,0.1482,0.1407,0.1139,0.3377,0.2763,0.0816,0.1639,0.2852
2022-01-05,0.1546,0.379,0.2525,0.2629,0.2379,0.266,0.1098,0.2965,0.2848,0.2455,0.1807,0.1557,0.1147,0.1224,0.3263,0.274,0.073,0.1456,0.2643
2022-01-06,0.1509,0.3741,0.2746,0.2505,0.2513,0.2798,0.0976,0.3111,0.2924,0.2311,0.1579,0.1674,0.1138,0.1401,0.3314,0.256,0.1001,0.1542,0.2691
2022-01-07,0.1365,0.3562,0.283,0.2374,0.2578,0.2635,0.0992,0.3183,0.2855,0.1795,0.145,0.1673,0.0746,0.1538,0.302,0.2499,0.0841000000000001,0.1619,0.2599
2022-01-10,0.1089,0.3387,0.2907,0.2383,0.2777,0.2594,0.0818,0.3129,0.2749,0.2119,0.162,0.1998,0.0613,0.1499,0.3397,0.2429,0.0802,0.1711,0.2643
2022-01-11,0.1022,0.3338,0.2891,0.2635,0.2925,0.2668,0.0790999999999999,0.2908,0.256,0.2482,0.1586,0.1821,0.0446,0.165,0.3375,0.2414,0.086,0.1646,0.2611
2022-01-12,0.1104,0.3774,0.2616,0.2709,0.2884,0.2652,0.0862000000000001,0.2706,0.2368,0.2001,0.1608,0.1889,0.0346,0.1542,0.3472,0.2429,0.1071,0.165,0.2592
2022-01-13,0.0894,0.3915,0.2552,0.2707,0.3153,0.2804,0.0755,0.2623,0.2729,0.1884,0.1689,0.1796,0.0338000000000001,0.164,0.3462,0.2492,0.1037,0.1473,0.2596
2022-01-14,0.1032,0.4163,0.2726,0.261,0.2996,0.2814,0.0688,0.2974,0.279,0.2098,0.1707,0.1895,0.0318999999999999,0.1536,0.3342,0.248,0.0931000000000001,0.1354,0.2591
2022-01-18,0.0959,0.3691,0.2728,0.2657,0.2833,0.2928,0.0672,0.3149,0.278,0.2307,0.1627,0.1841,0.0243,0.1568,0.3502,0.2353,0.0936,0.1296,0.2548
