date,XRP,BNB,BTC,DOGE,ADA,ETH,TRX,LTC
2020-09-21,0.3395,0.2262,0.4293,0.4937,0.1008,0.2094,0.2421,0.1541
2020-09-22,0.342,0.2238,0.4232,0.4906,0.0947,0.2018,0.2421,0.1473
2020-09-23,0.3337,0.2278,0.4267,0.4974,0.1047,0.2115,0.2461,0.1499
2020-09-24,0.336,0.2199,0.4222,0.4954,0.0992,0.2063,0.2451,0.1411
2020-09-25,0.3411,0.2231,0.4294,0.5003,0.1035,0.2187,0.2405,0.1434
2020-09-26,0.3418,0.2117,0.425,0.4897,0.1008,0.2168,0.2484,0.1402
2020-09-27,0.3352,0.2054,0.4124,0.489,0.1045,0.2127,0.249,0.1423
2020-09-28,0.3496,0.2076,0.4261,0.5132,0.1173,0.2346,0.2543,0.1512
2020-09-29,0.3482,0.2013,0.4196,0.5378,0.1137,0.2268,0.2563,0.1463
2020-09-30,0.3645,0.1988,0.4137,0.5555,0.1142,0.2278,0.253,0.1587
2020-10-01,0.3639,0.195,0.4101,0.5482,0.106,0.2249,0.2524,0.1593
2020-10-02,0.3647,0.1991,0.417,0.5289,0.1003,0.2226,0.2532,0.1555
2020-10-03,0.3562,0.2161,0.4632,0.5154,0.1093,0.2542,0.2731,0.167
2020-10-04,0.3619,0.2472,0.4452,0.4993,0.1161,0.2398,0.266,0.163
2020-10-05,0.3483,0.2391,0.4372,0.5117,0.1159,0.2353,0.2536,0.1558
2020-10-06,0.3644,0.2573,0.4493,0.539,0.1076,0.2442,0.253,0.16
2020-10-07,0.3541,0.2269,0.419,0.5404,0.1077,0.2231,0.2455,0.1523
2020-10-08,0.3774,0.2168,0.4289,0.5355,0.1162,0.2407,0.257,0.1551
2020-10-09,0.3728,0.2046,0.4249,0.54,0.1046,0.239,0.2691,0.1504
2020-10-10,0.3681,0.1758,0.4082,0.5371,0.0943999999999999,0.229,0.2675,0.1435
