"","date","LTC"
"670",2021-10-20,0.236
"671",2021-10-21,0.2458
"672",2021-10-22,0.24
"673",2021-10-23,0.2532
"674",2021-10-24,0.2391
"675",2021-10-25,0.2343
"676",2021-10-26,0.2325
"677",2021-10-27,0.2329
"678",2021-10-28,0.2462
"679",2021-10-29,0.2342
"680",2021-10-30,0.2315
"681",2021-10-31,0.2239
"682",2021-11-01,0.2212
"683",2021-11-02,0.235
"684",2021-11-03,0.2399
"685",2021-11-04,0.231
"686",2021-11-05,0.2359
"687",2021-11-06,0.2397
"688",2021-11-07,0.2427
"689",2021-11-08,0.2419
"690",2021-11-09,0.2435
"691",2021-11-10,0.2413
"692",2021-11-11,0.2422
"693",2021-11-12,0.2491
"694",2021-11-13,0.2486
"695",2021-11-14,0.2357
"696",2021-11-15,0.23
"697",2021-11-16,0.2231
"698",2021-11-17,0.2431
"699",2021-11-18,0.2456
"700",2021-11-19,0.2417
"701",2021-11-20,0.2493
"702",2021-11-21,0.235
"703",2021-11-22,0.231
"704",2021-11-23,0.2472
"705",2021-11-24,0.2425
"706",2021-11-25,0.2348
"707",2021-11-26,0.2291
"708",2021-11-27,0.233
"709",2021-11-28,0.2266
"710",2021-11-29,0.2263
"711",2021-11-30,0.2352
"712",2021-12-01,0.2386
"713",2021-12-02,0.2508
"714",2021-12-03,0.2516
"715",2021-12-04,0.2459
"716",2021-12-05,0.2461
"717",2021-12-06,0.2479
"718",2021-12-07,0.2528
"719",2021-12-08,0.255
"720",2021-12-09,0.2604
"721",2021-12-10,0.2512
"722",2021-12-11,0.2547
"723",2021-12-12,0.2661
"724",2021-12-13,0.2743
"725",2021-12-14,0.2758
"726",2021-12-15,0.2924
"727",2021-12-16,0.2816
"728",2021-12-17,0.2924
"729",2021-12-18,0.2846
"730",2021-12-19,0.2754
"731",2021-12-20,0.2845
"732",2021-12-21,0.2996
"733",2021-12-22,0.3165
"734",2021-12-23,0.3225
"735",2021-12-24,0.3135
"736",2021-12-25,0.3192
"737",2021-12-26,0.3237
"738",2021-12-27,0.3319
"739",2021-12-28,0.3259
"740",2021-12-29,0.3245
"741",2021-12-30,0.3242
"742",2021-12-31,0.3247
"743",2022-01-01,0.3404
"744",2022-01-02,0.3392
"745",2022-01-03,0.3317
"746",2022-01-04,0.3428
"747",2022-01-05,0.3468
"748",2022-01-06,0.3587
"749",2022-01-07,0.3572
"750",2022-01-08,0.359
"751",2022-01-09,0.3484
"752",2022-01-10,0.3523
"753",2022-01-11,0.3598
"754",2022-01-12,0.3531
"755",2022-01-13,0.3527
"756",2022-01-14,0.3561
"757",2022-01-15,0.3524
"758",2022-01-16,0.3623
"759",2022-01-17,0.3577
"760",2022-01-18,0.3562
"761",2022-01-19,0.3613
"762",2022-01-20,0.3577
"763",2022-01-21,0.3631
"764",2022-01-22,0.3735
"765",2022-01-23,0.3589
"766",2022-01-24,0.3505
"767",2022-01-25,0.3472
"768",2022-01-26,0.3619
"769",2022-01-27,0.352
"770",2022-01-28,0.3531
"771",2022-01-29,0.3556
"772",2022-01-30,0.3526
"773",2022-01-31,0.3648
"774",2022-02-01,0.3762
"775",2022-02-02,0.3661
"776",2022-02-03,0.3754
"777",2022-02-04,0.3808
"778",2022-02-05,0.3828
"779",2022-02-06,0.3737
"780",2022-02-07,0.3691
"781",2022-02-08,0.3759
"782",2022-02-09,0.3735
"783",2022-02-10,0.3747
"784",2022-02-11,0.3648
"785",2022-02-12,0.3527
"786",2022-02-13,0.3485
"787",2022-02-14,0.333
"788",2022-02-15,0.3581
"789",2022-02-16,0.3604
"790",2022-02-17,0.3615
"791",2022-02-18,0.3472
