"","date","HAS"
"675",2023-04-20,0.1611
"676",2023-04-21,0.1674
"677",2023-04-24,0.1644
"678",2023-04-25,0.1643
"679",2023-04-26,0.1644
"680",2023-04-27,0.1737
"681",2023-04-28,0.1817
"682",2023-05-01,0.1885
"683",2023-05-02,0.1623
"684",2023-05-03,0.1499
"685",2023-05-04,0.1416
"686",2023-05-05,0.1596
"687",2023-05-08,0.1464
"688",2023-05-09,0.1586
"689",2023-05-10,0.1449
"690",2023-05-11,0.1341
"691",2023-05-12,0.1257
"692",2023-05-15,0.1258
"693",2023-05-16,0.1045
"694",2023-05-17,0.1147
"695",2023-05-18,0.0974
"696",2023-05-19,0.0962
"697",2023-05-22,0.1073
"698",2023-05-23,0.0958000000000001
"699",2023-05-24,0.1051
"700",2023-05-25,0.1503
"701",2023-05-26,0.1321
"702",2023-05-30,0.1018
"703",2023-05-31,0.0846
"704",2023-06-01,0.0743
"705",2023-06-02,0.0748
"706",2023-06-05,0.0692
"707",2023-06-06,0.0922999999999999
"708",2023-06-07,0.0816000000000001
"709",2023-06-08,0.0731
"710",2023-06-09,0.1078
"711",2023-06-12,0.1052
"712",2023-06-13,0.0984
"713",2023-06-14,0.0941
"714",2023-06-15,0.1028
"715",2023-06-16,0.1098
"716",2023-06-20,0.1084
"717",2023-06-21,0.1095
"718",2023-06-22,0.1166
"719",2023-06-23,0.1371
"720",2023-06-26,0.1125
"721",2023-06-27,0.123
"722",2023-06-28,0.131
"723",2023-06-29,0.1097
