"","date","CTLT"
"538",2022-10-03,0.0891
"539",2022-10-04,0.0707
"540",2022-10-05,0.0329
"541",2022-10-06,0.0652
"542",2022-10-07,0.0384
"543",2022-10-10,0.0183
"544",2022-10-11,0.0272
"545",2022-10-12,0.0273
"546",2022-10-13,0.0222
"547",2022-10-14,0.0259
"548",2022-10-17,0.028
"549",2022-10-18,0.0271
"550",2022-10-19,0.0257
"551",2022-10-20,0.0258
"552",2022-10-21,0.0258
"553",2022-10-24,0.0253
"554",2022-10-25,0.0279
"555",2022-10-26,0.0382
"556",2022-10-27,0.0391
"557",2022-10-28,0.0437
"558",2022-10-31,0.0422
"559",2022-11-01,0.0935
"560",2022-11-02,0.1554
"561",2022-11-03,0.202
"562",2022-11-04,0.1945
"563",2022-11-07,0.2274
"564",2022-11-08,0.2522
"565",2022-11-09,0.3181
"566",2022-11-10,0.3457
"567",2022-11-11,0.3576
"568",2022-11-14,0.3514
"569",2022-11-15,0.4034
"570",2022-11-16,0.3969
"571",2022-11-17,0.4068
"572",2022-11-18,0.4091
"573",2022-11-21,0.3909
"574",2022-11-22,0.3955
"575",2022-11-23,0.4032
"576",2022-11-25,0.4135
"577",2022-11-28,0.4046
"578",2022-11-29,0.3985
"579",2022-11-30,0.4368
"580",2022-12-01,0.4294
"581",2022-12-02,0.43
"582",2022-12-05,0.3578
"583",2022-12-06,0.3816
"584",2022-12-07,0.4349
"585",2022-12-08,0.474
"586",2022-12-09,0.4942
"587",2022-12-12,0.4849
"588",2022-12-13,0.4243
"589",2022-12-14,0.4683
"590",2022-12-15,0.5202
"591",2022-12-16,0.5393
"592",2022-12-19,0.5101
"593",2022-12-20,0.464
"594",2022-12-21,0.4257
"595",2022-12-22,0.4101
"596",2022-12-23,0.4315
"597",2022-12-27,0.4561
"598",2022-12-28,0.4065
"599",2022-12-29,0.4088
"600",2022-12-30,0.4325
"601",2023-01-03,0.4453
"602",2023-01-04,0.4328
"603",2023-01-05,0.3984
"604",2023-01-06,0.3985
"605",2023-01-09,0.4067
"606",2023-01-10,0.3768
"607",2023-01-11,0.3903
"608",2023-01-12,0.4124
"609",2023-01-13,0.4143
"610",2023-01-17,0.336
"611",2023-01-18,0.3294
"612",2023-01-19,0.3082
"613",2023-01-20,0.2944
"614",2023-01-23,0.2803
"615",2023-01-24,0.2682
"616",2023-01-25,0.2483
"617",2023-01-26,0.2091
"618",2023-01-27,0.1228
"619",2023-01-30,0.1101
"620",2023-01-31,0.14
"621",2023-02-01,0.1325
"622",2023-02-02,0.1306
"623",2023-02-03,0.1356
"624",2023-02-06,0.1251
"625",2023-02-07,0.1319
"626",2023-02-08,0.1472
"627",2023-02-09,0.1548
"628",2023-02-10,0.1323
"629",2023-02-13,0.1314
"630",2023-02-14,0.1106
"631",2023-02-15,0.1039
"632",2023-02-16,0.0711
"633",2023-02-17,0.0797
"634",2023-02-21,0.0995
"635",2023-02-22,0.1135
"636",2023-02-23,0.1155
"637",2023-02-24,0.1071
"638",2023-02-27,0.0841
"639",2023-02-28,0.1004
"640",2023-03-01,0.1331
"641",2023-03-02,0.2005
"642",2023-03-03,0.1954
"643",2023-03-06,0.1722
"644",2023-03-07,0.2024
"645",2023-03-08,0.2039
"646",2023-03-09,0.2228
"647",2023-03-10,0.2024
"648",2023-03-13,0.1699
"649",2023-03-14,0.1841
"650",2023-03-15,0.2383
"651",2023-03-16,0.2706
"652",2023-03-17,0.2271
"653",2023-03-20,0.2122
"654",2023-03-21,0.1699
"655",2023-03-22,0.1837
"656",2023-03-23,0.2171
"657",2023-03-24,0.2223
"658",2023-03-27,0.1805
"659",2023-03-28,0.1874
"660",2023-03-29,0.2017
"661",2023-03-30,0.206
"662",2023-03-31,0.1899
"663",2023-04-03,0.189
"664",2023-04-04,0.2031
"665",2023-04-05,0.1663
"666",2023-04-06,0.1482
"667",2023-04-10,0.1766
"668",2023-04-11,0.2125
"669",2023-04-12,0.2549
"670",2023-04-13,0.2602
"671",2023-04-14,0.2346
"672",2023-04-17,0.246
