"","date","HII"
"533",2022-09-26,0.1873
"534",2022-09-27,0.1824
"535",2022-09-28,0.1765
"536",2022-09-29,0.1653
"537",2022-09-30,0.1591
"538",2022-10-03,0.1463
"539",2022-10-04,0.1298
"540",2022-10-05,0.1201
"541",2022-10-06,0.1277
"542",2022-10-07,0.1168
"543",2022-10-10,0.111
"544",2022-10-11,0.1145
"545",2022-10-12,0.122
"546",2022-10-13,0.1154
"547",2022-10-14,0.1148
"548",2022-10-17,0.113
"549",2022-10-18,0.118
"550",2022-10-19,0.1345
"551",2022-10-20,0.1327
"552",2022-10-21,0.1312
"553",2022-10-24,0.1201
"554",2022-10-25,0.1048
"555",2022-10-26,0.0988
"556",2022-10-27,0.093
"557",2022-10-28,0.1015
"558",2022-10-31,0.0984
"559",2022-11-01,0.109
"560",2022-11-02,0.1267
"561",2022-11-03,0.137
"562",2022-11-04,0.1346
"563",2022-11-07,0.1257
"564",2022-11-08,0.1203
"565",2022-11-09,0.1096
"566",2022-11-10,0.1054
"567",2022-11-11,0.1022
"568",2022-11-14,0.1049
"569",2022-11-15,0.0887
"570",2022-11-16,0.0887
"571",2022-11-17,0.0963
"572",2022-11-18,0.0955
"573",2022-11-21,0.1096
"574",2022-11-22,0.1031
"575",2022-11-23,0.1023
"576",2022-11-25,0.1157
"577",2022-11-28,0.1241
"578",2022-11-29,0.1286
"579",2022-11-30,0.1362
"580",2022-12-01,0.1587
"581",2022-12-02,0.1626
"582",2022-12-05,0.1722
"583",2022-12-06,0.1816
"584",2022-12-07,0.1755
"585",2022-12-08,0.1722
"586",2022-12-09,0.1724
"587",2022-12-12,0.1849
"588",2022-12-13,0.2002
"589",2022-12-14,0.2145
"590",2022-12-15,0.2234
"591",2022-12-16,0.2331
"592",2022-12-19,0.2421
"593",2022-12-20,0.2709
"594",2022-12-21,0.2599
"595",2022-12-22,0.2573
"596",2022-12-23,0.242
"597",2022-12-27,0.2441
"598",2022-12-28,0.2607
"599",2022-12-29,0.2684
"600",2022-12-30,0.2793
"601",2023-01-03,0.3055
"602",2023-01-04,0.3076
"603",2023-01-05,0.3026
"604",2023-01-06,0.3134
"605",2023-01-09,0.3044
"606",2023-01-10,0.3007
"607",2023-01-11,0.2993
"608",2023-01-12,0.2978
"609",2023-01-13,0.2933
"610",2023-01-17,0.2893
"611",2023-01-18,0.3027
"612",2023-01-19,0.2989
"613",2023-01-20,0.2977
"614",2023-01-23,0.2904
"615",2023-01-24,0.2914
"616",2023-01-25,0.3104
"617",2023-01-26,0.3249
"618",2023-01-27,0.3247
"619",2023-01-30,0.329
"620",2023-01-31,0.3176
"621",2023-02-01,0.3252
"622",2023-02-02,0.3309
"623",2023-02-03,0.3243
"624",2023-02-06,0.31
"625",2023-02-07,0.3041
"626",2023-02-08,0.2958
"627",2023-02-09,0.2799
"628",2023-02-10,0.2906
"629",2023-02-13,0.2709
"630",2023-02-14,0.2778
"631",2023-02-15,0.2832
"632",2023-02-16,0.2969
"633",2023-02-17,0.2946
"634",2023-02-21,0.3008
"635",2023-02-22,0.2804
"636",2023-02-23,0.2667
"637",2023-02-24,0.2685
"638",2023-02-27,0.2733
"639",2023-02-28,0.273
"640",2023-03-01,0.2735
"641",2023-03-02,0.286
"642",2023-03-03,0.275
"643",2023-03-06,0.273
"644",2023-03-07,0.255
"645",2023-03-08,0.2451
"646",2023-03-09,0.2427
"647",2023-03-10,0.2485
"648",2023-03-13,0.2478
"649",2023-03-14,0.2347
"650",2023-03-15,0.2279
"651",2023-03-16,0.2235
"652",2023-03-17,0.2353
"653",2023-03-20,0.2381
"654",2023-03-21,0.2365
"655",2023-03-22,0.2421
"656",2023-03-23,0.242
"657",2023-03-24,0.2307
"658",2023-03-27,0.2444
"659",2023-03-28,0.2351
"660",2023-03-29,0.2329
"661",2023-03-30,0.2352
"662",2023-03-31,0.2329
"663",2023-04-03,0.2273
"664",2023-04-04,0.2234
"665",2023-04-05,0.195
"666",2023-04-06,0.177
"667",2023-04-10,0.1979
"668",2023-04-11,0.211
"669",2023-04-12,0.2196
"670",2023-04-13,0.2307
"671",2023-04-14,0.2159
"672",2023-04-17,0.2085
"673",2023-04-18,0.2075
"674",2023-04-19,0.2111
"675",2023-04-20,0.2287
"676",2023-04-21,0.2175
"677",2023-04-24,0.2146
"678",2023-04-25,0.2154
"679",2023-04-26,0.207
"680",2023-04-27,0.2176
"681",2023-04-28,0.2374
"682",2023-05-01,0.2324
"683",2023-05-02,0.2318
"684",2023-05-03,0.2142
"685",2023-05-04,0.2102
"686",2023-05-05,0.1945
"687",2023-05-08,0.2009
"688",2023-05-09,0.2124
"689",2023-05-10,0.2141
"690",2023-05-11,0.2157
"691",2023-05-12,0.2069
"692",2023-05-15,0.2031
"693",2023-05-16,0.2051
"694",2023-05-17,0.2039
"695",2023-05-18,0.1939
"696",2023-05-19,0.1977
"697",2023-05-22,0.2071
"698",2023-05-23,0.2078
"699",2023-05-24,0.1962
"700",2023-05-25,0.1965
"701",2023-05-26,0.1853
"702",2023-05-30,0.1924
"703",2023-05-31,0.2029
"704",2023-06-01,0.1937
"705",2023-06-02,0.1774
"706",2023-06-05,0.1698
"707",2023-06-06,0.1801
"708",2023-06-07,0.1784
"709",2023-06-08,0.1856
"710",2023-06-09,0.1836
"711",2023-06-12,0.2017
"712",2023-06-13,0.2105
"713",2023-06-14,0.2102
"714",2023-06-15,0.2033
"715",2023-06-16,0.202
"716",2023-06-20,0.1996
"717",2023-06-21,0.2052
"718",2023-06-22,0.2117
"719",2023-06-23,0.2083
"720",2023-06-26,0.222
"721",2023-06-27,0.2284
"722",2023-06-28,0.2294
"723",2023-06-29,0.2319
