"","date","NCLH"
"612",2023-01-19,0.2602
"613",2023-01-20,0.2807
"614",2023-01-23,0.291
"615",2023-01-24,0.2935
"616",2023-01-25,0.2946
"617",2023-01-26,0.315
"618",2023-01-27,0.3473
"619",2023-01-30,0.3379
"620",2023-01-31,0.3376
"621",2023-02-01,0.3371
"622",2023-02-02,0.3407
"623",2023-02-03,0.3246
"624",2023-02-06,0.3404
"625",2023-02-07,0.3459
"626",2023-02-08,0.3601
"627",2023-02-09,0.3314
"628",2023-02-10,0.3123
"629",2023-02-13,0.3166
"630",2023-02-14,0.3212
"631",2023-02-15,0.3162
"632",2023-02-16,0.3044
"633",2023-02-17,0.3062
"634",2023-02-21,0.3195
"635",2023-02-22,0.3062
"636",2023-02-23,0.3116
"637",2023-02-24,0.3149
"638",2023-02-27,0.3459
"639",2023-02-28,0.3905
"640",2023-03-01,0.3898
"641",2023-03-02,0.371
"642",2023-03-03,0.3733
"643",2023-03-06,0.3403
"644",2023-03-07,0.329
"645",2023-03-08,0.353
"646",2023-03-09,0.3681
"647",2023-03-10,0.3397
"648",2023-03-13,0.3289
"649",2023-03-14,0.3465
"650",2023-03-15,0.3323
"651",2023-03-16,0.3249
"652",2023-03-17,0.3029
"653",2023-03-20,0.303
"654",2023-03-21,0.2891
"655",2023-03-22,0.2647
"656",2023-03-23,0.2548
"657",2023-03-24,0.2546
"658",2023-03-27,0.2385
"659",2023-03-28,0.2465
"660",2023-03-29,0.2547
"661",2023-03-30,0.2655
"662",2023-03-31,0.2614
"663",2023-04-03,0.2435
"664",2023-04-04,0.2492
"665",2023-04-05,0.234
"666",2023-04-06,0.2324
"667",2023-04-10,0.2416
"668",2023-04-11,0.2306
"669",2023-04-12,0.2455
"670",2023-04-13,0.2701
"671",2023-04-14,0.2772
"672",2023-04-17,0.2575
"673",2023-04-18,0.2616
"674",2023-04-19,0.2486
"675",2023-04-20,0.2323
"676",2023-04-21,0.2072
"677",2023-04-24,0.2332
"678",2023-04-25,0.2546
"679",2023-04-26,0.2421
"680",2023-04-27,0.2434
"681",2023-04-28,0.246
"682",2023-05-01,0.2383
"683",2023-05-02,0.2413
"684",2023-05-03,0.2411
"685",2023-05-04,0.2494
"686",2023-05-05,0.2536
"687",2023-05-08,0.2589
"688",2023-05-09,0.2444
"689",2023-05-10,0.2529
"690",2023-05-11,0.251
"691",2023-05-12,0.2309
"692",2023-05-15,0.2093
"693",2023-05-16,0.2168
"694",2023-05-17,0.2413
"695",2023-05-18,0.2528
"696",2023-05-19,0.2592
"697",2023-05-22,0.2784
"698",2023-05-23,0.2685
"699",2023-05-24,0.2792
"700",2023-05-25,0.2576
"701",2023-05-26,0.2577
"702",2023-05-30,0.2608
"703",2023-05-31,0.2733
"704",2023-06-01,0.2791
"705",2023-06-02,0.2573
"706",2023-06-05,0.2533
"707",2023-06-06,0.2588
"708",2023-06-07,0.2667
"709",2023-06-08,0.3054
"710",2023-06-09,0.3085
"711",2023-06-12,0.2938
"712",2023-06-13,0.2692
"713",2023-06-14,0.2866
"714",2023-06-15,0.2846
"715",2023-06-16,0.2721
"716",2023-06-20,0.2809
"717",2023-06-21,0.3063
"718",2023-06-22,0.3045
"719",2023-06-23,0.3209
"720",2023-06-26,0.3199
"721",2023-06-27,0.3187
"722",2023-06-28,0.3077
"723",2023-06-29,0.3014
