"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"262","Ge Healthcare Technologies Inc.","GEHC","0.07%","64.05",-1.4,"(-2.14%)"
"263","Aptiv Plc","APTV","0.07%","92.00",1.75,"(1.94%)"
"264","Dollar General Corp.","DG","0.07%","115.22",-0.29,"(-0.25%)"
"265","Martin Marietta Materials","MLM","0.07%","409.75",-0.97,"(-0.24%)"
"266","Fortive Corporation","FTV","0.07%","70.24",-0.86,"(-1.21%)"
"267","The Kraft Heinz Company","KHC","0.07%","31.31",-0.14,"(-0.45%)"
"268","Ingersoll Rand Inc.","IR","0.07%","60.42",-0.8,"(-1.31%)"
"269","Ansys Inc","ANSS","0.07%","279.72",-6.2,"(-2.17%)"
"270","Quanta Services, Inc.","PWR","0.07%","164.70",-4.04,"(-2.39%)"
"271","Edison International","EIX","0.07%","62.71",-1.29,"(-2.02%)"
"272","Avalonbay Communities, Inc.","AVB","0.07%","169.61",-3.44,"(-1.99%)"
"273","Extra Space Storage, Inc.","EXR","0.07%","109.59",-2.91,"(-2.59%)"
"274","Cardinal Health, Inc.","CAH","0.07%","92.38",-0.41,"(-0.44%)"
"275","Dollar Tree Inc.","DLTR","0.07%","110.53",-2.58,"(-2.28%)"
"276","Lyondellbasell Industries N.v. Class A","LYB","0.07%","92.05",-0.7,"(-0.75%)"
"277","Warner Bros. Discovery, Inc. Series a","WBD","0.06%","10.33",-0.06,"(-0.58%)"
"278","Hp Inc.","HPQ","0.06%","26.01",-0.44,"(-1.66%)"
"279","Fair Isaac Corporation","FICO","0.06%","912.00",-7.26,"(-0.79%)"
"280","American Water Works Company, Inc","AWK","0.06%","115.80",-1.22,"(-1.04%)"
"281","Coterra Energy Inc.","CTRA","0.06%","28.93",-0.67,"(-2.26%)"
"282","Mettler-Toledo International","MTD","0.06%","1,020.23",6.11,"(0.60%)"
"283","Take-Two Interactive Software Inc","TTWO","0.06%","140.58",0.3,"(0.21%)"
"284","Keysight Technologies, Inc.","KEYS","0.06%","122.82",-1.17,"(-0.94%)"
"285","The Hartford Financial Services Group, Inc.","HIG","0.06%","70.39",-1.6,"(-2.22%)"
"286","Xylem Inc","XYL","0.06%","91.81",-0.35,"(-0.38%)"
"287","Tractor Supply Co","TSCO","0.06%","195.27",-6.87,"(-3.40%)"
"288","Equifax, Incorporated","EFX","0.06%","176.37",-2.61,"(-1.46%)"
"289","Zimmer Biomet Holdings, Inc.","ZBH","0.06%","104.56",-0.25,"(-0.24%)"
"290","Church & Dwight Co., Inc.","CHD","0.06%","90.12",0.52,"(0.58%)"
"291","Ebay Inc","EBAY","0.06%","40.76",-0.39,"(-0.95%)"
"292","T Rowe Price Group Inc","TROW","0.06%","96.33",-1.04,"(-1.07%)"
"293","Willis Towers Watson Public Limited Companys","WTW","0.06%","205.85",-1.51,"(-0.73%)"
"294","Weyerhaeuser Company","WY","0.06%","29.25",-0.08,"(-0.27%)"
"295","Steris Plc","STE","0.06%","217.05",0.15,"(0.07%)"
"296","Cbre Group, Inc.","CBRE","0.06%","67.49",-0.83,"(-1.21%)"
"297","State Street Corporation","STT","0.06%","64.86",-1.5,"(-2.26%)"
"298","Discover Financial Services","DFS","0.06%","82.19",-2.4,"(-2.84%)"
"299","Hewlett Packard Enterprise Company","HPE","0.06%","15.23",-1.07,"(-6.56%)"
"300","Delta Air Lines, Inc.","DAL","0.06%","32.23",-0.48,"(-1.47%)"
"301","Corning Incorporated","GLW","0.06%","27.17",-0.26,"(-0.95%)"
"302","Resmed Inc.","RMD","0.06%","144.20",1.91,"(1.34%)"
"303","Monolithic Power Systems, Inc.","MPWR","0.06%","420.04",-13.71,"(-3.16%)"
"304","Broadridge Financial Solutions Inc","BR","0.06%","173.19",-2.71,"(-1.54%)"
"305","Sba Communications Corp","SBAC","0.06%","191.88",2.44,"(1.29%)"
"306","Molina Healthcare, Inc.","MOH","0.06%","348.89",-0.73,"(-0.21%)"
"307","Ameren Corporation","AEE","0.06%","76.33",-1.32,"(-1.70%)"
"308","Dte Energy Company","DTE","0.06%","96.65",-0.09,"(-0.09%)"
"309","Equity Residential","EQR","0.06%","57.48",-1.01,"(-1.73%)"
"310","M&t Bank Corp.","MTB","0.06%","113.77",-5.84,"(-4.88%)"
"311","Entergy Corporation","ETR","0.06%","93.08",-0.29,"(-0.31%)"
"312","Targa Resources Corp.","TRGP","0.05%","86.69",-1.02,"(-1.16%)"
"313","Royal Caribbean Group","RCL","0.05%","80.04",-2.04,"(-2.49%)"
"314","Align Technology Inc","ALGN","0.05%","269.88",-0.41,"(-0.15%)"
"315","Verisign Inc","VRSN","0.05%","208.12",-3.54,"(-1.67%)"
"316","Illumina Inc","ILMN","0.05%","119.64",-0.34,"(-0.28%)"
"317","Dover Corporation","DOV","0.05%","134.69",0.26,"(0.19%)"
"318","Eversource Energy","ES","0.05%","53.50",-0.4,"(-0.74%)"
"319","Ulta Beauty, Inc.","ULTA","0.05%","371.85",-1.01,"(-0.27%)"
